D0=10BDF4 D1=E4A2 D2=0 D3=FFFF D4=16405000 D5=84598540 D6=84598540 D7=FFFF A0=108910 A1=102100 A2=F7588 A3=108F4A A4=20F129C A5=108000 A6=108E74 PC=32BBE -- 032BBE: bne     $32bca
D0=10003C D1=88 D2=0 D3=FFFF D4=16405000 D5=84598540 D6=84598540 D7=FFFF A0=108EA0 A1=3C0002 A2=3372E A3=108F4A A4=20F129C A5=108000 A6=108E74 PC=33792 -- 033792: move.w  (A0)+, (A1)
D0=10003C D1=88 D2=0 D3=FFFF D4=16405000 D5=84598540 D6=84598540 D7=FFFF A0=108EA2 A1=3C0002 A2=3372E A3=108F4A A4=20F129C A5=108000 A6=108E74 PC=33794 -- 033794: move.w  (A0)+, (A1)
D0=10003C D1=88 D2=0 D3=FFFF D4=16405000 D5=84598540 D6=84598540 D7=FFFF A0=108EA4 A1=3C0002 A2=3372E A3=108F4A A4=20F129C A5=108000 A6=108E74 PC=33796 -- 033796: move.w  (A0)+, (A1)
D0=10003C D1=88 D2=0 D3=FFFF D4=16405000 D5=84598540 D6=84598540 D7=FFFF A0=108EA6 A1=3C0002 A2=3372E A3=108F4A A4=20F129C A5=108000 A6=108E74 PC=33798 -- 033798: move.w  (A0)+, (A1)
D0=10003C D1=88 D2=0 D3=FFFF D4=16405000 D5=84598540 D6=84598540 D7=FFFF A0=108EA8 A1=3C0002 A2=3372E A3=108F4A A4=20F129C A5=108000 A6=108E74 PC=3379A -- 03379A: move.w  (A0)+, (A1)
D0=10003C D1=88 D2=0 D3=FFFF D4=16405000 D5=84598540 D6=84598540 D7=FFFF A0=108EAA A1=3C0002 A2=3372E A3=108F4A A4=20F129C A5=108000 A6=108E74 PC=3379C -- 03379C: move.w  (A0)+, (A1)
D0=10003C D1=88 D2=0 D3=FFFF D4=16405000 D5=84598540 D6=84598540 D7=FFFF A0=108EAC A1=3C0002 A2=3372E A3=108F4A A4=20F129C A5=108000 A6=108E74 PC=3379E -- 03379E: move.w  (A0)+, (A1)
D0=10003C D1=88 D2=0 D3=FFFF D4=16405000 D5=84598540 D6=84598540 D7=FFFF A0=108EAE A1=3C0002 A2=3372E A3=108F4A A4=20F129C A5=108000 A6=108E74 PC=337A0 -- 0337A0: move.w  (A0)+, (A1)
D0=10003C D1=88 D2=0 D3=FFFF D4=16405000 D5=84598540 D6=84598540 D7=FFFF A0=108EB0 A1=3C0002 A2=3372E A3=108F4A A4=20F129C A5=108000 A6=108E74 PC=337A2 -- 0337A2: move.w  (A0)+, (A1)
D0=10003C D1=88 D2=0 D3=FFFF D4=16405000 D5=84598540 D6=84598540 D7=FFFF A0=108EB2 A1=3C0002 A2=3372E A3=108F4A A4=20F129C A5=108000 A6=108E74 PC=337A4 -- 0337A4: move.w  (A0)+, (A1)
D0=10003C D1=88 D2=0 D3=FFFF D4=16405000 D5=84598540 D6=84598540 D7=FFFF A0=108EB4 A1=3C0002 A2=3372E A3=108F4A A4=20F129C A5=108000 A6=108E74 PC=337A6 -- 0337A6: lea     ($f3c,A5), A0
D0=10003C D1=88 D2=0 D3=FFFF D4=16405000 D5=84598540 D6=84598540 D7=FFFF A0=108F3C A1=3C0002 A2=3372E A3=108F4A A4=20F129C A5=108000 A6=108E74 PC=337AA -- 0337AA: move.w  ($1046,A5), D0
D0=1000F9 D1=88 D2=0 D3=FFFF D4=16405000 D5=84598540 D6=84598540 D7=FFFF A0=108F3C A1=3C0002 A2=3372E A3=108F4A A4=20F129C A5=108000 A6=108E74 PC=337AE -- 0337AE: add.w   ($1042,A5), D0
D0=100139 D1=88 D2=0 D3=FFFF D4=16405000 D5=84598540 D6=84598540 D7=FFFF A0=108F3C A1=3C0002 A2=3372E A3=108F4A A4=20F129C A5=108000 A6=108E74 PC=337B2 -- 0337B2: addi.w  #-$7e00, D0
D0=108339 D1=88 D2=0 D3=FFFF D4=16405000 D5=84598540 D6=84598540 D7=FFFF A0=108F3C A1=3C0002 A2=3372E A3=108F4A A4=20F129C A5=108000 A6=108E74 PC=337B6 -- 0337B6: lea     $3c0000.l, A1
D0=108339 D1=88 D2=0 D3=FFFF D4=16405000 D5=84598540 D6=84598540 D7=FFFF A0=108F3C A1=3C0000 A2=3372E A3=108F4A A4=20F129C A5=108000 A6=108E74 PC=337BC -- 0337BC: move.w  D0, (A1)+
D0=108339 D1=88 D2=0 D3=FFFF D4=16405000 D5=84598540 D6=84598540 D7=FFFF A0=108F3C A1=3C0002 A2=3372E A3=108F4A A4=20F129C A5=108000 A6=108E74 PC=337BE -- 0337BE: move.w  ($104a,A5), D0
D0=10003F D1=88 D2=0 D3=FFFF D4=16405000 D5=84598540 D6=84598540 D7=FFFF A0=108F3C A1=3C0002 A2=3372E A3=108F4A A4=20F129C A5=108000 A6=108E74 PC=337C2 -- 0337C2: addq.w  #1, D0
